Areas of Resilience,Data Points Needed,Documentation #1 (Azure)
Reliability Targets & Metrics,"Recovery Metrics: RTO, RPO",https://learn.microsoft.com/en-us/azure/well-architected/reliability/metrics
Reliability Targets & Metrics,"Recovery Metrics: RTO, RPO",https://docs.aws.amazon.com/resilience-hub/latest/userguide/setup-resiliency-policy.html
Reliability Targets & Metrics,Availability Metrics,https://learn.microsoft.com/en-us/azure/well-architected/reliability/metrics
Reliability Targets & Metrics,"Application SLx Metrics: SLA, SLO",https://learn.microsoft.com/en-us/azure/well-architected/reliability/metrics
Reliability Targets & Metrics,"Operational Response Metrics: MTTx: MTTR, MTBF",https://learn.microsoft.com/en-us/azure/well-architected/reliability/metrics
Reliability Targets & Metrics,"Operational Response Metrics: MTTx: MTTR, MTBF",https://docs.aws.amazon.com/whitepapers/latest/availability-and-beyond-improving-resilience/designing-highly-available-distributed-systems-on-aws.html
Resilient Architecture,Multi-Region Deployment,https://learn.microsoft.com/en-us/azure/well-architected/reliability/highly-available-multi-region-design
Resilient Architecture,Multi-Region Deployment,https://aws.amazon.com/blogs/architecture/disaster-recovery-dr-architecture-on-aws-part-i-strategies-for-recovery-in-the-cloud/
Resilient Architecture,Multi-Availability Zone Deployment,https://learn.microsoft.com/en-us/azure/well-architected/reliability/highly-available-multi-region-design
Resilient Architecture,Multi-Availability Zone Deployment,https://aws.amazon.com/blogs/architecture/disaster-recovery-dr-architecture-on-aws-part-i-strategies-for-recovery-in-the-cloud/
Resilient Architecture,Single Points of Failure,https://learn.microsoft.com/en-us/azure/well-architected/reliability/failure-mode-analysis
Resilient Architecture,Single Points of Failure,https://aws.amazon.com/blogs/architecture/verify-the-resilience-of-your-workloads-using-chaos-engineering/
Resilient Architecture,Failure Mode and Effect Analysis (FMEA),https://learn.microsoft.com/en-us/azure/well-architected/reliability/failure-mode-analysis
Resilient Architecture,Failure Mode and Effect Analysis (FMEA),https://adrianco.medium.com/failure-modes-and-continuous-resilience-6553078caad5
Resilient Architecture,System Failure Analysis,https://learn.microsoft.com/en-us/azure/well-architected/reliability/failure-mode-analysis
Resilient Architecture,System Failure Analysis,https://adrianco.medium.com/failure-modes-and-continuous-resilience-6553078caad5
Resilient Architecture,Component Failures Analysis,https://learn.microsoft.com/en-us/azure/well-architected/reliability/failure-mode-analysis
Resilient Architecture,Component Failures Analysis,https://adrianco.medium.com/failure-modes-and-continuous-resilience-6553078caad5
Resilient Architecture,Dependency Failure Analysis,https://learn.microsoft.com/en-us/azure/well-architected/reliability/failure-mode-analysis
Resilient Architecture,Dependency Failure Analysis,https://adrianco.medium.com/failure-modes-and-continuous-resilience-6553078caad5
Service and Capacity Availability,Capacity Modeling,https://learn.microsoft.com/en-us/azure/well-architected/performance-efficiency/capacity-planning
Service and Capacity Availability,Typical Business Workloads (Usage Pattern),https://learn.microsoft.com/en-us/azure/well-architected/performance-efficiency/capacity-planning
Service and Capacity Availability,Cloud Availability (Region) in Business Region,https://learn.microsoft.com/en-us/azure/well-architected/reliability/highly-available-multi-region-design
Service and Capacity Availability,Cloud Availability (Region) in Business Region,https://aws.amazon.com/blogs/architecture/disaster-recovery-dr-architecture-on-aws-part-i-strategies-for-recovery-in-the-cloud/
Service and Capacity Availability,Cloud Availability (AZ) in Business Region,https://learn.microsoft.com/en-us/azure/well-architected/reliability/highly-available-multi-region-design
Service and Capacity Availability,Cloud Availability (AZ) in Business Region,https://aws.amazon.com/blogs/architecture/disaster-recovery-dr-architecture-on-aws-part-i-strategies-for-recovery-in-the-cloud/
Service and Capacity Availability,Cloud Service Limits,https://learn.microsoft.com/en-us/azure/well-architected/reliability/identify-flows
Service and Capacity Availability,Cloud Service Limits,https://wa.aws.amazon.com/wat.concept.service-limits.en.html
Service and Capacity Availability,Potential Cloud Migration,https://docs.aws.amazon.com/wellarchitected/latest/migration-lens/reliability.html
Disaster Recovery Preparedness,Active-Active Load Balancing,https://learn.microsoft.com/en-us/azure/reliability/disaster-recovery-overview
Disaster Recovery Preparedness,Active-Active Load Balancing,https://aws.amazon.com/blogs/architecture/disaster-recovery-dr-architecture-on-aws-part-i-strategies-for-recovery-in-the-cloud/
Disaster Recovery Preparedness,Active-Passive Load Balancing,https://learn.microsoft.com/en-us/azure/reliability/disaster-recovery-overview
Disaster Recovery Preparedness,Active-Passive Load Balancing,https://aws.amazon.com/blogs/architecture/disaster-recovery-dr-architecture-on-aws-part-i-strategies-for-recovery-in-the-cloud/
Disaster Recovery Preparedness,Disaster Recovery - Regional Failure,https://learn.microsoft.com/en-us/azure/well-architected/reliability/disaster-recovery
Disaster Recovery Preparedness,Disaster Recovery - Backup Strategy,https://learn.microsoft.com/en-us/azure/well-architected/performance-efficiency/optimize-operational-tasks
Disaster Recovery Preparedness,Disaster Recovery - Runbooks,https://learn.microsoft.com/en-us/azure/well-architected/operational-excellence/automate-tasks
Disaster Recovery Preparedness,Disaster Recovery - Automated Runbooks,https://learn.microsoft.com/en-us/azure/well-architected/operational-excellence/automate-tasks
Disaster Recovery Preparedness,Disaster Recovery - Test Approach,https://learn.microsoft.com/en-us/azure/well-architected/reliability/testing-strategy
Disaster Recovery Preparedness,Disaster Recovery - Service Decomposition,https://learn.microsoft.com/en-us/azure/well-architected/reliability/background-jobs
Disaster Recovery Preparedness,Disaster Recovery - Network Redundancy,https://learn.microsoft.com/en-us/azure/well-architected/reliability/redundancy
Application Platform Meets Reliability Requirements,Stateless Architecture,https://learn.microsoft.com/en-us/azure/well-architected/reliability/scaling
Application Platform Meets Reliability Requirements,Resilience Design Patterns,https://learn.microsoft.com/en-us/azure/well-architected/reliability/design-patterns
Application Platform Meets Reliability Requirements,Using Cache DB for Session State Storage,https://learn.microsoft.com/en-us/azure/well-architected/performance-efficiency/scale-partition
Application Platform Meets Reliability Requirements,Use of Chef/Puppet/Ansible,https://learn.microsoft.com/en-us/azure/well-architected/operational-excellence/automate-tasks
Application Platform Meets Reliability Requirements,Containerization & Service Bus/Meshes,https://learn.microsoft.com/en-us/azure/well-architected/mission-critical/mission-critical-application-platform
Application Platform Meets Reliability Requirements,Multi AZ Deployments,https://learn.microsoft.com/en-us/azure/well-architected/reliability/highly-available-multi-region-design
Application Platform Meets Reliability Requirements,Platform Service - Multi AZ Discovery,https://learn.microsoft.com/en-us/azure/well-architected/performance-efficiency/scale-partition
Application Platform Meets Reliability Requirements,Platform Service - Multi Region Discovery,https://learn.microsoft.com/en-us/azure/well-architected/performance-efficiency/scale-partition
Application Platform Meets Reliability Requirements,Container Load Balancing,https://learn.microsoft.com/en-us/azure/well-architected/cost-optimization/optimize-scaling-costs
Application Platform Meets Reliability Requirements,Health Check Monitoring,https://learn.microsoft.com/en-us/azure/well-architected/reliability/monitoring-alerting-strategy
Application Platform Meets Reliability Requirements,Queuing and Messaging,https://learn.microsoft.com/en-us/azure/well-architected/cost-optimization/optimize-scaling-costs
Application Platform Meets Reliability Requirements,Traffic Routing - Failover,https://learn.microsoft.com/en-us/azure/well-architected/reliability/regions-availability-zones
